"Date","Flow Rate","Quality code","Quality code description"
"2015-03-14 09:00","6425.489","5","3: RATINGS/TS - No data in the period have been adjusted from sensing system measurement in any way"
"2015-03-15 09:00","5860.301","5","4: TS - Data adjusted during processing"
"2015-03-16 09:00","6524.961","5","6: GAUGINGS/TS - Best available gauging; Pre 2024 - Good Gauging to AS3778; TS - Data adjusted during processing"
"2015-03-17 09:00","6306.59","5","7: RATINGS/TS - Large uncertainty - data in period not adjusted from sensing system measurement in any way. Good Gauging"
"2015-03-18 09:00","6888.658","5","8: TS - Data adjusted during processing"
"2015-03-19 09:00","6460.264","5","9: RATINGS/TS - Large uncertainty - data in period not adjusted from sensing system measurement in any way"
"2015-03-20 09:00","6148.859","5","51: TS/GAUGINGS - Data Estimated or Indirect measurement"
"2015-03-21 09:00","6914.494","5","56: Auto QC - Instrument not calibrated"
"2015-03-22 09:00","7306.807","5","100: Quality unknown"
"2015-03-23 09:00","6785.557","5","125: Auto QC - Passed"
"2015-03-24 09:00","6749.562","5","130: Not quality coded - subject to change"
"2015-03-25 09:00","6296.704","5","135: Auto QC - Telemetry data where out of Calibration could not be determined"
"2015-03-26 09:00","6595.84","5","155: Data outside recordable range; incls values recorded > maximum value measured by the sensor or measuring device"
"2015-03-27 09:00","6652.103","5",""
"2015-03-28 09:00","6247.333","5",""
"2015-03-29 09:00","5097.058","5",""
"2015-03-30 09:00","4883.917","5",""
"2015-03-31 09:00","4138.988","5",""
"2015-04-01 09:00","3765.959","3",""
"2015-04-02 09:00","3343.446","3",""
"2015-04-03 09:00","3190.584","3",""
"2015-04-04 09:00","3551.627","3",""
"2015-04-05 09:00","3647.393","3",""
"2015-04-06 09:00","3244.481","3",""
"2015-04-07 09:00","3318.588","3",""
"2015-04-08 09:00","4343.713","3",""
"2015-04-09 09:00","3556.918","3",""
"2015-04-10 09:00","3088.744","3",""
"2015-04-11 09:00","2814.726","3",""
"2015-04-12 09:00","2070.963","5",""
"2015-04-13 09:00","1970.348","5",""
"2015-04-14 09:00","2549.862","3",""
"2015-04-15 09:00","3132.22","3",""
"2015-04-16 09:00","2969.322","3",""
"2015-04-17 09:00","2524.297","3",""
"2015-04-18 09:00","2120.06","5",""
"2015-04-19 09:00","1803.208","5",""
"2015-04-20 09:00","1796.064","5",""
"2015-04-21 09:00","2052.192","5",""
"2015-04-22 09:00","2298.83","3",""
"2015-04-23 09:00","1951.918","5",""
"2015-04-24 09:00","1742.269","5",""
"2015-04-25 09:00","1630.934","5",""
"2015-04-26 09:00","1531.523","5",""
"2015-04-27 09:00","1537.876","5",""
"2015-04-28 09:00","1689.579","5",""
"2015-04-29 09:00","1915.249","5",""
"2015-04-30 09:00","1768.81","5",""
"2015-05-01 09:00","1679.759","5",""
"2015-05-02 09:00","1637.417","5",""
"2015-05-03 09:00","1595.428","5",""
"2015-05-04 09:00","1572.965","5",""
"2015-05-05 09:00","1699.419","5",""
"2015-05-06 09:00","2059.693","5",""
"2015-05-07 09:00","2221.493","3",""
"2015-05-08 09:00","2225.538","3",""
"2015-05-09 09:00","2205.346","3",""
"2015-05-10 09:00","2381.363","3",""
"2015-05-11 09:00","2469.257","3",""
"2015-05-12 09:00","2614.219","3",""
"2015-05-13 09:00","2955.125","3",""
"2015-05-14 09:00","2687.921","3",""
"2015-05-15 09:00","1996.257","5",""
"2015-05-16 09:00","1775.465","5",""
"2015-05-17 09:00","1673.222","5",""
"2015-05-18 09:00","1686.304","5",""
"2015-05-19 09:00","1605.086","5",""
"2015-05-20 09:00","1592.212","5",""
"2015-05-21 09:00","1585.788","5",""
"2015-05-22 09:00","1719.153","5",""
"2015-05-23 09:00","2331.705","3",""
"2015-05-24 09:00","1937.22","5",""
"2015-05-25 09:00","1732.35","5",""
"2015-05-26 09:00","1617.994","5",""
"2015-05-27 09:00","1553.794","5",""
"2015-05-28 09:00","1525.18","5",""
"2015-05-29 09:00","1503.044","5",""
"2015-05-30 09:00","1490.442","5",""
"2015-05-31 09:00","1499.89","5",""
"2015-06-01 09:00","1598.645","5",""
"2015-06-02 09:00","1627.696","5",""
"2015-06-03 09:00","1547.42","5",""
"2015-06-04 09:00","1579.372","5",""
"2015-06-05 09:00","1608.31","5",""
"2015-06-06 09:00","1669.956","5",""
"2015-06-07 09:00","1673.222","5",""
"2015-06-08 09:00","1605.086","5",""
"2015-06-09 09:00","1560.176","5",""
"2015-06-10 09:00","1522.011","5",""
"2015-06-11 09:00","1512.518","5",""
"2015-06-12 09:00","1503.044","5",""
"2015-06-13 09:00","1360.224","5",""
"2015-06-14 09:00","1360.224","5",""
"2015-06-15 09:00","1471.604","5",""
"2015-06-16 09:00","1518.845","5",""
"2015-06-17 09:00","1515.68","5",""
"2015-06-18 09:00","1689.579","5",""
"2015-06-19 09:00","3749.693","3",""
"2015-06-20 09:00","10426.829","3",""
"2015-06-21 09:00","8640.199","3",""
"2015-06-22 09:00","8093.034","3",""
"2015-06-23 09:00","6687.968","3",""
"2015-06-24 09:00","5400.516","3",""
"2015-06-25 09:00","4420.889","3",""
"2015-06-26 09:00","3804.034","3",""
"2015-06-27 09:00","3274.039","3",""
"2015-06-28 09:00","2828.637","3",""
"2015-06-29 09:00","2515.798","3",""
"2015-06-30 09:00","2286.549","3",""
"2015-07-01 09:00","2116.268","5",""
"2015-07-02 09:00","1974.042","5",""
"2015-07-03 09:00","1889.733","5",""
"2015-07-04 09:00","1821.111","5",""
"2015-07-05 09:00","1725.747","5",""
"2015-07-06 09:00","1653.661","5",""
"2015-07-07 09:00","1679.759","5",""
"2015-07-08 09:00","1621.226","5",""
"2015-07-09 09:00","1556.984","5",""
"2015-07-10 09:00","1525.18","5",""
"2015-07-11 09:00","1582.579","5",""
"2015-07-12 09:00","1702.703","5",""
"2015-07-13 09:00","1871.584","5",""
"2015-07-14 09:00","4560.123","3",""
"2015-07-15 09:00","5588.973","3",""
"2015-07-16 09:00","4973.631","3",""
"2015-07-17 09:00","6158.69","3",""
"2015-07-18 09:00","6539.912","3",""
"2015-07-19 09:00","6153.774","3",""
"2015-07-20 09:00","6395.716","3",""
"2015-07-21 09:00","5510.643","3",""
"2015-07-22 09:00","4827.146","3",""
"2015-07-23 09:00","5182.32","3",""
"2015-07-24 09:00","7064.81","3",""
"2015-07-25 09:00","8914.925","3",""
"2015-07-26 09:00","7531.006","3",""
"2015-07-27 09:00","8872.011","3",""
"2015-07-28 09:00","8664.509","3",""
"2015-07-29 09:00","8398.294","3",""
"2015-07-30 09:00","6914.494","3",""
"2015-07-31 09:00","6028.544","7",""
"2015-08-01 09:00","5268.241","7",""
"2015-08-02 09:00","5123.222","7",""
"2015-08-03 09:00","8242.224","7",""
"2015-08-04 09:00","14618.909","7",""
"2015-08-05 09:00","10148.65","7",""
"2015-08-06 09:00","7189.9","7",""
"2015-08-07 09:00","6370.93","7",""
"2015-08-08 09:00","6857.687","7",""
"2015-08-09 09:00","5947.524","7",""
"2015-08-10 09:00","6662.345","7",""
"2015-08-11 09:00","6055.644","7",""
"2015-08-12 09:00","5334.781","7",""
"2015-08-13 09:00","4846.036","7",""
"2015-08-14 09:00","6326.37","7",""
"2015-08-15 09:00","7239.935","7",""
"2015-08-16 09:00","5846.933","7",""
"2015-08-17 09:00","5090.527","7",""
"2015-08-18 09:00","4385.193","7",""
"2015-08-19 09:00","4064.086","7",""
"2015-08-20 09:00","3776.821","7",""
"2015-08-21 09:00","3472.678","7",""
"2015-08-22 09:00","3093.562","7",""
"2015-08-23 09:00","2842.576","7",""
"2015-08-24 09:00","2786.992","7",""
"2015-08-25 09:00","3069.504","7",""
"2015-08-26 09:00","5005.975","7",""
"2015-08-27 09:00","16042.695","7",""
"2015-08-28 09:00","17887.827","7",""
"2015-08-29 09:00","14716.82","7",""
"2015-08-30 09:00","11373.505","7",""
"2015-08-31 09:00","8326.147","7",""
"2015-09-01 09:00","7054.418","7",""
"2015-09-02 09:00","9539.971","7",""
"2015-09-03 09:00","10901.604","7",""
"2015-09-04 09:00","13097.406","7",""
"2015-09-05 09:00","14233.316","7",""
"2015-09-06 09:00","13055.589","7",""
"2015-09-07 09:00","11172.375","7",""
"2015-09-08 09:00","7044.029","7",""
"2015-09-09 09:00","5162.586","7",""
"2015-09-10 09:00","4615.434","7",""
"2015-09-11 09:00","3974.671","7",""
"2015-09-12 09:00","3604.692","7",""
"2015-09-13 09:00","3269.105","7",""
"2015-09-14 09:00","3093.562","7",""
"2015-09-15 09:00","2936.239","7",""
"2015-09-16 09:00","2773.168","7",""
"2015-09-17 09:00","2666.16","7",""
"2015-09-18 09:00","2584.107","7",""
"2015-09-19 09:00","2507.311","7",""
"2015-09-20 09:00","2418.877","7",""
"2015-09-21 09:00","2356.482","7",""
"2015-09-22 09:00","2286.549","7",""
"2015-09-23 09:00","2360.622","7",""
"2015-09-24 09:00","3244.481","7",""
"2015-09-25 09:00","4535.638","7",""
"2015-09-26 09:00","5314.778","7",""
"2015-09-27 09:00","7441.088","7",""
"2015-09-28 09:00","10693.878","7",""
"2015-09-29 09:00","10162.158","7",""
"2015-09-30 09:00","9953.488","7",""
"2015-10-01 09:00","10013.913","7",""
"2015-10-02 09:00","9960.195","7",""
"2015-10-03 09:00","10837.43","7",""
"2015-10-04 09:00","11753.083","7",""
"2015-10-05 09:00","12474.703","7",""
"2015-10-06 09:00","11912.304","7",""
"2015-10-07 09:00","11295.52","7",""
"2015-10-08 09:00","10632.041","7",""
"2015-10-09 09:00","8884.265","7",""
"2015-10-10 09:00","10779.771","7",""
"2015-10-11 09:00","10460.933","7",""
"2015-10-12 09:00","9819.669","7",""
"2015-10-13 09:00","9148.853","7",""
"2015-10-14 09:00","8701.014","7",""
"2015-10-15 09:00","8964.846","7",""
"2015-10-16 09:00","8816.933","7",""
"2015-10-17 09:00","8260.185","7",""
"2015-10-18 09:00","8051.415","7",""
"2015-10-19 09:00","8027.664","7",""
"2015-10-20 09:00","8634.125","7",""
"2015-10-21 09:00","9199.834","7",""
"2015-10-22 09:00","11237.137","7",""
"2015-10-23 09:00","11237.137","7",""
"2015-10-24 09:00","9940.077","7",""
"2015-10-25 09:00","9059.866","7",""
"2015-10-26 09:00","8110.891","7",""
"2015-10-27 09:00","7085.606","7",""
"2015-10-28 09:00","6785.557","7",""
"2015-10-29 09:00","6672.591","7",""
"2015-10-30 09:00","6966.237","7",""
"2015-10-31 09:00","7080.406","7",""
"2015-11-01 09:00","6940.353","7",""
"2015-11-02 09:00","5913.909","7",""
"2015-11-03 09:00","4689.658","7",""
"2015-11-04 09:00","7278.922","7",""
"2015-11-05 09:00","4664.856","7",""
"2015-11-06 09:00","3141.916","7",""
"2015-11-07 09:00","2796.224","7",""
"2015-11-08 09:00","3674.194","7",""
"2015-11-09 09:00","3814.944","7",""
"2015-11-10 09:00","6739.287","7",""
"2015-11-11 09:00","7023.264","7",""
"2015-11-12 09:00","6723.881","7",""
"2015-11-13 09:00","6893.823","7",""
"2015-11-14 09:00","7323.553","7",""
"2015-11-15 09:00","8296.144","7",""
"2015-11-16 09:00","9514.156","7",""
"2015-11-17 09:00","8057.357","7",""
"2015-11-18 09:00","7933.795","7",""
"2015-11-19 09:00","8549.23","7",""
"2015-11-20 09:00","9289.279","7",""
"2015-11-21 09:00","11419.07","7",""
"2015-11-22 09:00","11107.724","7",""
"2015-11-23 09:00","9514.156","7",""
"2015-11-24 09:00","9187.08","7",""
"2015-11-25 09:00","8804.708","7",""
"2015-11-26 09:00","8761.964","7",""
"2015-11-27 09:00","8743.665","7",""
"2015-11-28 09:00","9199.834","7",""
"2015-11-29 09:00","9766.85","7",""
"2015-11-30 09:00","9449.722","7",""
"2015-12-01 09:00","9187.08","7",""
