"Date","River Level","Quality code","Quality code description"
"2015-03-14 09:00","0.406","3","3: RATINGS/TS - No data in the period have been adjusted from sensing system measurement in any way"
"2015-03-15 09:00","0.404","3","4: TS - Data adjusted during processing"
"2015-03-16 09:00","0.401","3","6: GAUGINGS/TS - Best available gauging; Pre 2024 - Good Gauging to AS3778; TS - Data adjusted during processing"
"2015-03-17 09:00","0.398","3","7: RATINGS/TS - Large uncertainty - data in period not adjusted from sensing system measurement in any way. Good Gauging"
"2015-03-18 09:00","0.403","3","8: TS - Data adjusted during processing"
"2015-03-19 09:00","0.402","3","9: RATINGS/TS - Large uncertainty - data in period not adjusted from sensing system measurement in any way"
"2015-03-20 09:00","0.401","3","10: TS - Data adjusted during processing"
"2015-03-21 09:00","0.396","3","11: TS-Synthetic or Artificial Data. Data which does not relate directly to the measured variable but for which a valid code is required"
"2015-03-22 09:00","0.402","3","51: TS/GAUGINGS - Data Estimated or Indirect measurement"
"2015-03-23 09:00","0.402","3","55: Auto QC - Flat line data"
"2015-03-24 09:00","0.398","3","100: Quality unknown"
"2015-03-25 09:00","0.399","3","125: Auto QC - Passed"
"2015-03-26 09:00","0.399","3","130: Not quality coded - subject to change"
"2015-03-27 09:00","0.406","3","135: Auto QC - Telemetry data where out of Calibration could not be determined"
"2015-03-28 09:00","0.418","3","155: Data outside recordable range; incls values recorded > maximum value measured by the sensor or measuring device"
"2015-03-29 09:00","0.436","3",""
"2015-03-30 09:00","0.432","3",""
"2015-03-31 09:00","0.425","3",""
"2015-04-01 09:00","0.425","3",""
"2015-04-02 09:00","0.424","3",""
"2015-04-03 09:00","0.419","3",""
"2015-04-04 09:00","0.416","3",""
"2015-04-05 09:00","0.417","3",""
"2015-04-06 09:00","0.422","3",""
"2015-04-07 09:00","0.438","3",""
"2015-04-08 09:00","0.502","3",""
"2015-04-09 09:00","0.503","3",""
"2015-04-10 09:00","0.631","3",""
"2015-04-11 09:00","0.629","3",""
"2015-04-12 09:00","0.582","3",""
"2015-04-13 09:00","0.542","3",""
"2015-04-14 09:00","0.518","3",""
"2015-04-15 09:00","0.504","3",""
"2015-04-16 09:00","0.497","3",""
"2015-04-17 09:00","0.502","3",""
"2015-04-18 09:00","0.506","3",""
"2015-04-19 09:00","0.527","3",""
"2015-04-20 09:00","0.542","3",""
"2015-04-21 09:00","0.707","3",""
"2015-04-22 09:00","0.669","3",""
"2015-04-23 09:00","0.617","3",""
"2015-04-24 09:00","0.58","3",""
"2015-04-25 09:00","0.567","3",""
"2015-04-26 09:00","0.565","3",""
"2015-04-27 09:00","0.605","3",""
"2015-04-28 09:00","0.676","3",""
"2015-04-29 09:00","0.638","3",""
"2015-04-30 09:00","0.599","3",""
"2015-05-01 09:00","0.574","3",""
"2015-05-02 09:00","0.559","3",""
"2015-05-03 09:00","0.55","3",""
"2015-05-04 09:00","0.543","3",""
"2015-05-05 09:00","0.54","3",""
"2015-05-06 09:00","0.536","3",""
"2015-05-07 09:00","0.534","3",""
"2015-05-08 09:00","0.533","3",""
"2015-05-09 09:00","0.534","3",""
"2015-05-10 09:00","0.536","3",""
"2015-05-11 09:00","0.558","3",""
"2015-05-12 09:00","0.568","3",""
"2015-05-13 09:00","0.732","3",""
"2015-05-14 09:00","0.706","3",""
"2015-05-15 09:00","0.655","3",""
"2015-05-16 09:00","0.629","3",""
"2015-05-17 09:00","0.606","3",""
"2015-05-18 09:00","0.591","3",""
"2015-05-19 09:00","0.58","3",""
"2015-05-20 09:00","0.584","3",""
"2015-05-21 09:00","0.61","3",""
"2015-05-22 09:00","0.764","3",""
"2015-05-23 09:00","0.709","3",""
"2015-05-24 09:00","0.655","3",""
"2015-05-25 09:00","0.624","3",""
"2015-05-26 09:00","0.605","3",""
"2015-05-27 09:00","0.593","3",""
"2015-05-28 09:00","0.585","3",""
"2015-05-29 09:00","0.582","3",""
"2015-05-30 09:00","0.583","3",""
"2015-05-31 09:00","0.6","3",""
"2015-06-01 09:00","0.626","3",""
"2015-06-02 09:00","0.612","3",""
"2015-06-03 09:00","0.603","3",""
"2015-06-04 09:00","0.632","3",""
"2015-06-05 09:00","0.618","3",""
"2015-06-06 09:00","0.606","3",""
"2015-06-07 09:00","0.6","3",""
"2015-06-08 09:00","0.608","3",""
"2015-06-09 09:00","0.603","3",""
"2015-06-10 09:00","0.596","3",""
"2015-06-11 09:00","0.592","3",""
"2015-06-12 09:00","0.589","3",""
"2015-06-13 09:00","0.589","3",""
"2015-06-14 09:00","0.586","3",""
"2015-06-15 09:00","0.584","3",""
"2015-06-16 09:00","0.59","3",""
"2015-06-17 09:00","0.6","3",""
"2015-06-18 09:00","0.622","3",""
"2015-06-19 09:00","1.265","3",""
"2015-06-20 09:00","1.721","3",""
"2015-06-21 09:00","1.161","3",""
"2015-06-22 09:00","0.895","3",""
"2015-06-23 09:00","0.797","3",""
"2015-06-24 09:00","0.747","3",""
"2015-06-25 09:00","0.717","3",""
"2015-06-26 09:00","0.698","3",""
"2015-06-27 09:00","0.695","3",""
"2015-06-28 09:00","0.677","3",""
"2015-06-29 09:00","0.66","3",""
"2015-06-30 09:00","0.648","3",""
"2015-07-01 09:00","0.642","3",""
"2015-07-02 09:00","0.636","3",""
"2015-07-03 09:00","0.634","3",""
"2015-07-04 09:00","0.632","3",""
"2015-07-05 09:00","0.636","3",""
"2015-07-06 09:00","0.636","3",""
"2015-07-07 09:00","0.629","3",""
"2015-07-08 09:00","0.626","3",""
"2015-07-09 09:00","0.624","3",""
"2015-07-10 09:00","0.63","3",""
"2015-07-11 09:00","0.625","3",""
"2015-07-12 09:00","0.652","3",""
"2015-07-13 09:00","0.75","3",""
"2015-07-14 09:00","1.153","3",""
"2015-07-15 09:00","1.07","3",""
"2015-07-16 09:00","0.953","3",""
"2015-07-17 09:00","1.11","3",""
"2015-07-18 09:00","0.992","3",""
"2015-07-19 09:00","0.877","3",""
"2015-07-20 09:00","0.81","3",""
"2015-07-21 09:00","0.77","3",""
"2015-07-22 09:00","0.75","3",""
"2015-07-23 09:00","0.787","3",""
"2015-07-24 09:00","1.057","3",""
"2015-07-25 09:00","1.001","3",""
"2015-07-26 09:00","1.153","3",""
"2015-07-27 09:00","1.137","3",""
"2015-07-28 09:00","1.128","3",""
"2015-07-29 09:00","1.009","3",""
"2015-07-30 09:00","0.904","3",""
"2015-07-31 09:00","0.857","3",""
"2015-08-01 09:00","0.829","3",""
"2015-08-02 09:00","1.19","3",""
"2015-08-03 09:00","1.836","3",""
"2015-08-04 09:00","1.684","3",""
"2015-08-05 09:00","1.315","3",""
"2015-08-06 09:00","1.151","3",""
"2015-08-07 09:00","1.393","3",""
"2015-08-08 09:00","1.202","3",""
"2015-08-09 09:00","1.089","3",""
"2015-08-10 09:00","1.012","3",""
"2015-08-11 09:00","0.963","3",""
"2015-08-12 09:00","0.931","3",""
"2015-08-13 09:00","0.974","3",""
"2015-08-14 09:00","1.304","3",""
"2015-08-15 09:00","1.081","3",""
"2015-08-16 09:00","0.968","3",""
"2015-08-17 09:00","0.917","3",""
"2015-08-18 09:00","0.907","3",""
"2015-08-19 09:00","0.903","3",""
"2015-08-20 09:00","0.874","3",""
"2015-08-21 09:00","0.843","3",""
"2015-08-22 09:00","0.825","3",""
"2015-08-23 09:00","0.826","3",""
"2015-08-24 09:00","0.859","3",""
"2015-08-25 09:00","1.014","3",""
"2015-08-26 09:00","1.529","3",""
"2015-08-27 09:00","1.54","3",""
"2015-08-28 09:00","1.675","3",""
"2015-08-29 09:00","1.948","3",""
"2015-08-30 09:00","1.51","3",""
"2015-08-31 09:00","1.238","3",""
"2015-09-01 09:00","1.127","3",""
"2015-09-02 09:00","1.055","3",""
"2015-09-03 09:00","1.054","3",""
"2015-09-04 09:00","1.428","3",""
"2015-09-05 09:00","1.698","3",""
"2015-09-06 09:00","1.27","3",""
"2015-09-07 09:00","1.122","3",""
"2015-09-08 09:00","1.053","3",""
"2015-09-09 09:00","1.023","3",""
"2015-09-10 09:00","1.02","3",""
"2015-09-11 09:00","0.973","3",""
"2015-09-12 09:00","0.923","3",""
"2015-09-13 09:00","0.896","3",""
"2015-09-14 09:00","0.874","3",""
"2015-09-15 09:00","0.854","3",""
"2015-09-16 09:00","0.838","3",""
"2015-09-17 09:00","0.827","3",""
"2015-09-18 09:00","0.812","3",""
"2015-09-19 09:00","0.797","3",""
"2015-09-20 09:00","0.783","3",""
"2015-09-21 09:00","0.774","3",""
"2015-09-22 09:00","0.767","3",""
"2015-09-23 09:00","0.757","3",""
"2015-09-24 09:00","0.751","3",""
"2015-09-25 09:00","0.738","3",""
"2015-09-26 09:00","0.725","3",""
"2015-09-27 09:00","0.718","3",""
"2015-09-28 09:00","0.713","3",""
"2015-09-29 09:00","0.71","3",""
"2015-09-30 09:00","0.705","3",""
"2015-10-01 09:00","0.695","3",""
"2015-10-02 09:00","0.685","3",""
"2015-10-03 09:00","0.676","3",""
"2015-10-04 09:00","0.669","3",""
"2015-10-05 09:00","0.662","3",""
"2015-10-06 09:00","0.655","3",""
"2015-10-07 09:00","0.649","3",""
"2015-10-08 09:00","0.64","3",""
"2015-10-09 09:00","0.635","3",""
"2015-10-10 09:00","0.632","3",""
"2015-10-11 09:00","0.629","3",""
"2015-10-12 09:00","0.632","3",""
"2015-10-13 09:00","0.645","3",""
"2015-10-14 09:00","0.664","3",""
"2015-10-15 09:00","0.647","3",""
"2015-10-16 09:00","0.624","3",""
"2015-10-17 09:00","0.614","3",""
"2015-10-18 09:00","0.607","3",""
"2015-10-19 09:00","0.606","3",""
"2015-10-20 09:00","0.603","3",""
"2015-10-21 09:00","0.603","3",""
"2015-10-22 09:00","0.605","3",""
"2015-10-23 09:00","0.608","3",""
"2015-10-24 09:00","0.626","3",""
"2015-10-25 09:00","0.624","3",""
"2015-10-26 09:00","0.607","3",""
"2015-10-27 09:00","0.594","3",""
"2015-10-28 09:00","0.581","3",""
"2015-10-29 09:00","0.572","3",""
"2015-10-30 09:00","0.567","3",""
"2015-10-31 09:00","0.562","3",""
"2015-11-01 09:00","0.577","3",""
"2015-11-02 09:00","0.653","3",""
"2015-11-03 09:00","1.345","3",""
"2015-11-04 09:00","1.088","3",""
"2015-11-05 09:00","0.813","3",""
"2015-11-06 09:00","0.715","3",""
"2015-11-07 09:00","0.676","3",""
"2015-11-08 09:00","0.703","3",""
"2015-11-09 09:00","0.733","3",""
"2015-11-10 09:00","0.668","3",""
"2015-11-11 09:00","0.636","3",""
"2015-11-12 09:00","0.614","3",""
"2015-11-13 09:00","1.12","3",""
"2015-11-14 09:00","0.967","3",""
"2015-11-15 09:00","1.147","3",""
"2015-11-16 09:00","0.899","3",""
"2015-11-17 09:00","0.783","3",""
"2015-11-18 09:00","0.696","3",""
"2015-11-19 09:00","0.65","3",""
"2015-11-20 09:00","0.622","3",""
"2015-11-21 09:00","0.601","3",""
"2015-11-22 09:00","0.582","3",""
"2015-11-23 09:00","0.569","3",""
"2015-11-24 09:00","0.557","3",""
"2015-11-25 09:00","0.549","3",""
"2015-11-26 09:00","0.544","3",""
"2015-11-27 09:00","0.537","3",""
"2015-11-28 09:00","0.53","3",""
"2015-11-29 09:00","0.52","3",""
"2015-11-30 09:00","0.52","3",""
"2015-12-01 09:00","0.519","3",""
"2015-12-02 09:00","0.517","3",""
"2015-12-03 09:00","0.513","3",""
"2015-12-04 09:00","0.507","3",""
"2015-12-05 09:00","0.507","3",""
"2015-12-06 09:00","0.499","3",""
